Region,PA,N,Month,Season,Year,ID,Act_score,Impact_sco,ImpactS_t1,ImpactS_t2,ImpactS_t3,ImpactS_t4,ImpactS_t5,Area,PercentBLW,Fal,Roe,Red,CWD,Mun,Sik,FCNE
East Midlands,East Midlands,1,5,Spring,2019,2659,5,5,NA,NA,NA,NA,NA,14.82418083,1.72,1,0,0,0,1,0,1
East of England,NA,1,3,Spring,2015,7357,0,5,NA,NA,NA,NA,NA,14.93652057,0.00,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2012,7219,1,5,NA,5,NA,NA,NA,14.94489121,0.31,0,1,1,1,1,0,0
East of England,NA,1,3,Spring,2014,7219,3,5,NA,NA,NA,NA,NA,14.94489121,0.31,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2014,7361,4,4,5,NA,NA,NA,NA,14.9912942,0.49,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7361,5,5,NA,NA,NA,NA,NA,14.9912942,0.49,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7178,4,5,NA,NA,NA,NA,NA,14.99575325,0.95,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7321,4,5,NA,NA,NA,NA,NA,15.03051653,0.98,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7601,5,5,NA,NA,NA,NA,NA,15.03813212,0.14,1,1,0,0,1,1,0
East of England,NA,1,12,Autumn,2017,2415,3,3,NA,NA,NA,NA,NA,15.04840271,0.67,0,1,0,0,1,0,0
East of England,Suffolk,1,9,Autumn,2015,1195,1,1,5,NA,NA,NA,NA,15.07214026,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,9,Autumn,2016,1195,5,5,NA,NA,NA,NA,NA,15.07214026,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,3,Spring,2015,1195,1,1,3,NA,NA,NA,NA,15.07214026,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,3,Spring,2016,1195,3,3,NA,NA,NA,NA,NA,15.07214026,0.99,1,1,1,0,1,0,1
East of England,Suffolk,1,9,Autumn,2016,472,3,2,NA,NA,4,NA,NA,15.12298736,0.98,1,1,1,0,1,0,1
East of England,Suffolk,1,2,Autumn,2019,472,3,4,NA,NA,NA,NA,NA,15.12298736,0.98,1,1,1,0,1,0,1
East of England,Suffolk,1,5,Spring,2018,472,1,1,NA,NA,NA,NA,NA,15.12298736,0.98,1,0,0,0,1,0,1
